data;eksperyment;wer_norm;wer_raw;cer;mer;wil;S;D;I;H;slowa_ref
2026-07-15 12:09;whisper_base_baseline;36.73;44.55;20.18;33.92;50.32;98;22;35;302;422
2026-07-15 12:09;whisper_base_streaming;66.11;73.22;40.96;58.37;78.72;186;37;56;199;422
2026-07-15 12:09;faster_whisper_vad;36.97;44.79;22.02;33.40;49.18;95;16;45;311;422
2026-07-15 16:13;whisper_base_baseline;36.73;44.55;20.18;33.92;50.32;98;22;35;302;422
2026-07-15 16:13;whisper_base_streaming;66.11;73.22;40.96;58.37;78.72;186;37;56;199;422
2026-07-15 16:13;faster_whisper_vad;36.97;44.79;22.02;33.40;49.18;95;16;45;311;422
2026-07-15 16:24;whisper_base_baseline;36.73;44.55;20.18;33.92;50.32;98;22;35;302;422
2026-07-15 16:24;whisper_base_streaming;66.11;73.22;40.96;58.37;78.72;186;37;56;199;422
2026-07-15 16:24;faster_whisper_vad;36.97;44.79;22.02;33.40;49.18;95;16;45;311;422
2026-07-16 18:31;whisper_base_baseline;36.73;44.55;20.18;33.92;50.32;98;22;35;302;422
2026-07-16 18:31;whisper_base_streaming;66.11;73.22;40.96;58.37;78.72;186;37;56;199;422
2026-07-16 18:31;faster_whisper_vad;36.97;44.79;22.02;33.40;49.18;95;16;45;311;422
2026-07-16 18:31;faster_whisper_vad_prompt;38.39;46.68;21.73;34.99;51.32;99;22;41;301;422
2026-07-17 12:19;whisper_base_baseline;36.73;44.55;20.18;33.92;50.32;98;22;35;302;422
2026-07-17 12:19;whisper_base_streaming;66.11;73.22;40.96;58.37;78.72;186;37;56;199;422
2026-07-17 12:19;faster_whisper_vad;36.97;44.79;22.02;33.40;49.18;95;16;45;311;422
2026-07-17 12:19;faster_whisper_vad_prompt;38.39;46.68;21.73;34.99;51.32;99;22;41;301;422
2026-07-17 12:19;faster_whisper_vad_prompt6;39.34;47.87;22.88;36.17;52.02;94;35;37;293;422
2026-07-17 12:19;faster_whisper_vad_hotwords6;51.42;60.19;38.26;46.67;60.61;79;95;43;248;422
2026-07-17 12:20;whisper_base_baseline;36.73;44.55;20.18;33.92;50.32;98;22;35;302;422
2026-07-17 12:20;whisper_base_streaming;66.11;73.22;40.96;58.37;78.72;186;37;56;199;422
2026-07-17 12:20;faster_whisper_vad;36.97;44.79;22.02;33.40;49.18;95;16;45;311;422
2026-07-17 12:20;faster_whisper_vad_prompt;38.39;46.68;21.73;34.99;51.32;99;22;41;301;422
2026-07-17 12:20;faster_whisper_vad_prompt6;39.34;47.87;22.88;36.17;52.02;94;35;37;293;422
2026-07-17 12:20;faster_whisper_vad_hotwords6;51.42;60.19;38.26;46.67;60.61;79;95;43;248;422
2026-07-17 16:10;whisper_base_baseline;36.73;44.55;20.18;33.92;50.32;98;22;35;302;422
2026-07-17 16:10;whisper_base_streaming;66.11;73.22;40.96;58.37;78.72;186;37;56;199;422
2026-07-17 16:10;faster_whisper_vad;36.97;44.79;22.02;33.40;49.18;95;16;45;311;422
2026-07-17 16:10;faster_whisper_vad_prompt;38.39;46.68;21.73;34.99;51.32;99;22;41;301;422
2026-07-17 16:10;faster_whisper_vad_prompt6;39.34;47.87;22.88;36.17;52.02;94;35;37;293;422
2026-07-17 16:10;faster_whisper_vad_hotwords6;51.42;60.19;38.26;46.67;60.61;79;95;43;248;422
2026-07-17 16:10;faster_whisper_vad_slm;48.82;55.21;39.97;46.19;59.74;75;107;24;240;422
2026-07-17 16:21;whisper_base_baseline;36.73;44.55;20.18;33.92;50.32;98;22;35;302;422
2026-07-17 16:21;whisper_base_streaming;66.11;73.22;40.96;58.37;78.72;186;37;56;199;422
2026-07-17 16:21;faster_whisper_vad;36.97;44.79;22.02;33.40;49.18;95;16;45;311;422
2026-07-17 16:21;faster_whisper_vad_prompt;38.39;46.68;21.73;34.99;51.32;99;22;41;301;422
2026-07-17 16:21;faster_whisper_vad_prompt6;39.34;47.87;22.88;36.17;52.02;94;35;37;293;422
2026-07-17 16:21;faster_whisper_vad_hotwords6;51.42;60.19;38.26;46.67;60.61;79;95;43;248;422
2026-07-17 16:21;faster_whisper_vad_slm;48.82;55.21;39.97;46.19;59.74;75;107;24;240;422
2026-07-17 16:21;faster_whisper_vad_slm_qwen;48.82;55.21;39.97;46.19;59.74;75;107;24;240;422
2026-07-17 16:21;faster_whisper_vad_slm_llama;36.49;43.84;25.28;34.15;50.11;93;32;29;297;422
